Entity,Code,Year,Oil (terrawatt-hours),Coal (terrawatt-hours),Gas (terrawatt-hours),Hydropower (terrawatt-hours),Nuclear (terrawatt-hours),Solar (terrawatt-hours),Wind (terrawatt-hours),Other renewables (terawatt-hours)
Taiwan,TWN,1995,442.090024275262,186.73871157000002,43.456387200102,12.735431578947349,92.93589473684179,0,0,0
Taiwan,TWN,1996,443.95186492576164,211.16208373,44.342564042529006,12.481721052631585,99.44128947368384,0,0,0
Taiwan,TWN,1997,461.2986806341314,241.76542855,52.02492789474,13.803897368420998,95.44597105263121,0,0,1.2046131578947348
Taiwan,TWN,1998,476.033994794007,262.44749949000004,61.644418296048,16.320677607894634,96.90648752631542,0,0,1.5998873578947252
Taiwan,TWN,1999,512.1245178054905,319.77393267,62.734766450139006,13.292170302631478,101.09422421052591,0,0,2.0093043342105186
Taiwan,TWN,2000,527.9977652333513,319.77393267,67.67395781435101,11.999948294736793,101.323132947368,0.0003157894736842093,0.0036391052631578797,2.8582782421052517
Taiwan,TWN,2001,545.955199032619,336.03895287,72.894004526916,13.395520615789431,93.38532210526276,0.0006947368421052609,0.03218098157894724,3.5018294355263078
Taiwan,TWN,2002,547.7777362769939,364.90127506000005,81.527528921166,7.31289761315786,104.08663281842061,0.0009157894736842067,0.04178841842105249,4.335165101315771
Taiwan,TWN,2003,570.1264653339149,388.61068152,84.147592825701,7.985569552631549,102.34624894736803,0.001213157894736834,0.06253057894736823,4.451334349999979
Taiwan,TWN,2004,596.1433395907745,403.53778652,102.36428042191201,8.447024160526288,103.92122368421009,0.0015368421052631546,0.06645476578947346,4.637720526315774
Taiwan,TWN,2005,591.4558398779878,410.65497436000004,103.20080501924102,10.489901218421009,105.18949473684171,0.00252631578947367,0.2402642789473675,4.66009418684209
Taiwan,TWN,2006,590.3610401006302,430.70773437,110.69848650670201,10.758817807894692,104.92236263157851,0.0038342105263157776,0.7265124526315764,4.670635482894717
Taiwan,TWN,2007,616.5464715515012,450.85288310000004,117.44902114123501,11.625131328947322,106.68199999999958,0.005736842105263133,1.1566697552631535,4.764154223684191
Taiwan,TWN,2008,555.9211188118463,430.85929653,127.65958794156602,11.329224144736799,107.43910421052588,0.012024813157894708,1.5480662289473683,4.58322307105261
Taiwan,TWN,2009,557.7651171918257,409.65495718,124.66775808352801,9.863916289473641,109.39770736842058,0.024238586842105145,2.0700932868420985,4.437450734210512
Taiwan,TWN,2010,569.7554998649232,437.7102155200001,154.797684300027,11.037108699999955,109.54918184210477,0.06733477631578923,2.7008889342105125,4.711070913157874
Taiwan,TWN,2011,518.0766897080778,452.71242706000004,170.399319245892,10.525596049999958,110.8328705263153,0.1849113789473682,3.9280965026315635,4.6929798578947155
Taiwan,TWN,2012,517.9210404337587,441.40512467,178.852284226692,14.919889373684148,106.37297315789435,0.4554678763157881,3.7196538999999844,4.69595607631577
Taiwan,TWN,2013,529.4188053722696,449.06525906,179.379066157119,14.2707624236841,109.57726315789428,0.8890899631578913,4.315809502631563,4.720602677631566
Taiwan,TWN,2014,547.2379286414806,453.95354577,188.681686639083,11.362794521052585,111.54993421052582,1.4518662736842036,3.9486431131578796,4.854406834210508
Taiwan,TWN,2015,552.3371412515261,440.00245363000005,201.803599928169,11.763542434210533,95.97663315789433,2.30398935526315,4.013778176315775,4.909132285526296
Taiwan,TWN,2016,566.9349328000227,448.53945513,209.654048120814,17.268528573684094,83.31937526315754,2.979553510526305,3.834478542105252,4.796146346052614
Taiwan,TWN,2017,582.885850922832,458.55863035000004,232.45061975709302,14.333684210526268,59.0671052631577,4.451578947368407,4.5328947368420875,4.898421052631555
Taiwan,TWN,2018,582.0289777235347,457.04676470160194,236.62137811662902,11.752894736842025,72.84842105263134,7.192105263157862,4.419473684210516,5.300921052631553
Thailand,THA,1965,27.69634972222221,0.52335,0,2.88424,0,0,0,0
Thailand,THA,1966,32.69146499999995,0.7559500000000001,0,3.34944,0,0,0,0
Thailand,THA,1967,36.28415194444447,1.34908,0,4.58222,0,0,0,0
Thailand,THA,1968,47.828485833333396,1.4886400000000002,0,4.15191,0,0,0,0
Thailand,THA,1969,51.79970805555557,1.5816800000000002,0,3.1052100000000005,0,0,0,0
